iter	Passed	Remaining
455	844	1007
456	845	1004
457	846	1001
458	847	999
459	849	997
460	850	994
461	852	992
462	853	989
463	854	986
464	855	984
465	856	981
466	857	979
467	858	976
468	860	974
469	861	971
470	863	969
471	864	967
472	865	964
473	867	962
474	868	959
475	869	956
476	870	954
477	871	951
478	872	949
479	873	946
480	874	944
481	876	941
482	877	939
483	879	938
484	881	935
485	882	933
486	883	930
487	884	928
488	885	925
489	887	923
490	888	920
491	889	918
492	890	916
493	891	913
494	893	911
495	894	909
496	895	906
497	897	904
498	898	901
499	899	899
500	900	896
501	901	894
502	902	892
503	904	889
504	905	887
505	906	884
506	907	882
507	913	884
508	915	882
509	916	880
510	917	878
511	918	875
512	920	873
513	921	871
514	923	869
515	925	867
516	926	865
517	927	863
518	929	860
519	930	858
520	931	856
521	932	854
522	934	852
523	935	849
524	936	847
525	938	845
526	940	843
527	941	841
528	943	839
529	944	837
530	945	835
531	949	835
532	952	834
533	954	832
534	955	830
535	956	828
536	957	825
537	959	823
538	960	821
539	961	818
540	962	816
541	963	814
542	965	812
543	966	810
544	968	808
545	969	806
546	970	803
547	971	801
548	972	799
549	974	796
550	975	794
551	976	792
552	977	790
553	978	787
554	980	785
555	981	783
556	983	781
557	999	791
558	1001	789
559	1002	787
560	1006	787
561	1012	789
562	1014	787
563	1015	785
564	1016	782
565	1018	780
566	1019	778
567	1020	776
568	1022	774
569	1026	774
570	1028	772
571	1030	770
572	1032	769
573	1033	767
574	1037	766
575	1038	764
576	1040	762
577	1041	760
578	1043	758
579	1044	756
580	1046	754
581	1047	752
582	1049	750
583	1050	748
584	1051	746
585	1053	744
586	1058	744
587	1059	742
588	1061	740
589	1063	738
590	1064	736
591	1065	734
592	1069	733
593	1073	733
594	1074	731
595	1075	729
596	1077	727
597	1078	725
598	1080	723
599	1081	720
600	1082	718
601	1084	716
602	1089	717
603	1090	714
604	1091	712
605	1093	710
606	1095	709
607	1098	708
608	1100	706
609	1103	705
610	1104	703
611	1106	701
612	1107	699
613	1109	697
614	1112	696
615	1113	694
616	1115	692
617	1120	692
618	1121	690
619	1123	688
620	1124	686
621	1127	685
622	1129	683
623	1131	681
624	1133	680
625	1135	678
626	1136	676
627	1137	673
628	1138	671
629	1140	669
630	1141	667
631	1142	665
632	1144	663
633	1145	661
634	1148	660
635	1150	658
636	1151	656
637	1152	654
638	1153	651
639	1155	649
640	1156	647
641	1157	645
642	1158	643
643	1160	641
644	1161	639
645	1162	637
646	1163	635
647	1165	632
648	1166	630
649	1167	628
650	1168	626
651	1169	624
652	1170	622
653	1171	620
654	1173	617
655	1174	615
656	1175	613
657	1178	612
658	1179	610
659	1181	608
660	1182	606
661	1183	604
662	1185	602
663	1186	600
664	1187	598
665	1188	596
666	1189	594
667	1191	592
668	1192	590
669	1194	588
670	1196	586
671	1197	584
672	1198	582
673	1200	580
674	1201	578
675	1202	576
676	1203	574
677	1205	572
678	1206	570
679	1211	570
680	1212	568
681	1214	566
682	1215	564
683	1217	562
684	1218	560
685	1219	558
686	1220	556
687	1222	554
688	1224	552
689	1225	550
690	1227	548
691	1229	547
692	1230	545
693	1231	543
694	1232	541
695	1234	539
696	1235	537
697	1237	535
698	1239	533
699	1240	531
700	1241	529
701	1243	527
702	1244	525
703	1245	523
704	1246	521
705	1248	519
706	1249	517
707	1251	516
708	1253	514
709	1254	512
710	1255	510
711	1257	508
712	1258	506
713	1259	504
714	1260	502
715	1261	500
716	1263	498
717	1264	496
718	1268	495
719	1269	493
720	1271	492
721	1273	490
722	1274	488
723	1276	486
724	1279	485
725	1281	483
726	1283	481
727	1284	479
728	1286	478
729	1287	476
730	1288	474
731	1290	472
732	1291	470
733	1292	468
734	1294	466
735	1295	464
736	1305	465
737	1307	464
738	1309	462
739	1312	461
740	1315	459
741	1316	457
742	1318	456
743	1320	454
744	1322	452
745	1323	450
746	1325	448
747	1327	447
748	1329	445
749	1330	443
750	1332	441
751	1333	439
752	1334	437
753	1335	435
754	1337	433
755	1338	432
756	1340	430
757	1341	428
758	1343	426
759	1345	424
760	1346	422
761	1347	420
762	1349	419
763	1350	417
764	1351	415
765	1353	413
766	1354	411
767	1355	409
768	1357	407
769	1359	406
770	1360	404
771	1361	402
772	1363	400
773	1364	398
774	1366	396
775	1368	395
776	1370	393
777	1371	391
778	1374	389
779	1375	387
780	1376	386
781	1378	384
782	1379	382
783	1381	380
784	1382	378
785	1383	376
786	1385	374
787	1392	374
788	1394	372
789	1395	370
790	1396	369
791	1398	367
792	1399	365
793	1400	363
794	1403	361
795	1404	360
796	1406	358
797	1407	356
798	1408	354
799	1410	352
800	1412	350
801	1413	348
802	1414	347
803	1416	345
804	1420	343
805	1421	342
806	1423	340
807	1424	338
808	1426	336
809	1427	334
810	1429	333
811	1430	331
812	1433	329
813	1434	327
814	1435	325
815	1437	324
816	1438	322
817	1439	320
818	1441	318
819	1442	316
820	1443	314
821	1445	312
822	1446	311
823	1450	309
824	1452	308
825	1453	306
826	1455	304
827	1456	302
828	1458	300
829	1459	298
830	1460	297
831	1462	295
832	1464	293
833	1465	291
834	1466	289
835	1468	288
836	1469	286
837	1470	284
838	1471	282
839	1472	280
840	1474	278
841	1475	276
842	1478	275
843	1479	273
844	1481	271
845	1482	269
846	1484	268
847	1485	266
848	1486	264
849	1487	262
850	1488	260
851	1490	258
852	1492	257
853	1494	255
854	1495	253
855	1497	251
856	1498	250
857	1499	248
858	1500	246
859	1502	244
860	1503	242
861	1504	240
862	1506	239
863	1510	237
864	1511	235
865	1513	234
866	1514	232
867	1515	230
868	1516	228
869	1518	226
870	1519	225
871	1520	223
872	1522	221
873	1524	219
874	1526	218
875	1527	216
876	1528	214
877	1530	212
878	1531	210
879	1532	208
880	1533	207
881	1534	205
882	1536	203
883	1540	202
884	1541	200
885	1543	198
886	1544	196
887	1545	194
888	1547	193
889	1548	191
890	1549	189
891	1550	187
892	1552	186
893	1554	184
894	1556	182
895	1557	180
896	1558	178
897	1559	177
898	1560	175
899	1562	173
900	1563	171
901	1564	169
902	1565	168
903	1567	166
904	1569	164
905	1571	162
906	1572	161
907	1573	159
908	1575	157
909	1576	155
910	1577	154
911	1578	152
912	1580	150
913	1581	148
914	1584	147
915	1586	145
916	1587	143
917	1588	141
918	1589	140
919	1591	138
920	1592	136
921	1593	134
922	1594	133
923	1596	131
924	1598	129
925	1601	127
926	1603	126
927	1604	124
928	1605	122
929	1606	120
930	1608	119
931	1609	117
932	1610	115
933	1611	113
934	1613	112
935	1614	110
936	1615	108
937	1617	106
938	1618	105
939	1619	103
940	1620	101
941	1622	99
942	1623	98
943	1624	96
944	1626	94
945	1627	92
946	1631	91
947	1633	89
948	1634	87
949	1635	86
950	1637	84
951	1639	82
952	1640	80
953	1641	79
954	1643	77
955	1644	75
956	1645	73
957	1647	72
958	1648	70
959	1649	68
960	1651	67
961	1652	65
962	1653	63
963	1654	61
964	1656	60
965	1657	58
966	1660	56
967	1661	54
968	1663	53
969	1664	51
970	1665	49
971	1667	48
972	1668	46
973	1669	44
974	1670	42
975	1672	41
976	1673	39
977	1675	37
978	1676	35
979	1677	34
980	1679	32
981	1680	30
982	1681	29
983	1682	27
984	1683	25
985	1685	23
986	1686	22
987	1689	20
988	1691	18
989	1693	17
990	1694	15
991	1695	13
992	1696	11
993	1697	10
994	1698	8
995	1700	6
996	1701	5
997	1702	3
998	1703	1
999	1705	0
